Time_s,Range_km,SNR_dB,Pd,Doppler_Hz,Rain_mm_per_hr
0.00,0.111,74.87,1.000,0.0,8.9
0.51,0.111,74.87,1.000,0.0,8.9
1.03,0.111,74.87,1.000,0.0,8.9
1.54,0.111,74.87,1.000,0.0,8.9
2.04,0.111,74.87,1.000,0.0,8.9
2.54,0.111,74.87,1.000,0.0,8.9
3.06,0.111,74.87,1.000,0.0,8.9
3.56,0.111,74.87,1.000,0.0,8.9
4.08,0.111,74.87,1.000,0.0,8.9
4.58,0.111,74.87,1.000,0.0,8.9
5.09,0.111,74.87,1.000,0.0,8.9
5.59,0.111,74.87,1.000,0.0,8.9
6.11,0.111,74.87,1.000,0.0,8.9
6.61,0.111,74.87,1.000,0.0,8.9
7.13,0.111,74.87,1.000,0.0,8.9
7.64,0.111,74.87,1.000,0.0,8.9
8.14,0.111,74.87,1.000,0.0,8.9
8.66,0.111,74.87,1.000,0.0,8.9
9.16,0.111,74.87,1.000,0.0,8.9
9.66,0.111,74.87,1.000,0.0,8.9
10.18,0.111,74.87,1.000,0.0,8.9
10.69,0.111,74.87,1.000,0.0,8.9
11.19,0.111,74.87,1.000,0.0,8.9
11.71,0.111,74.87,1.000,0.0,8.9
12.23,0.111,74.87,1.000,0.0,8.9
12.74,0.111,74.87,1.000,0.0,8.9
13.24,0.111,74.87,1.000,0.0,8.9
13.76,0.111,74.87,1.000,0.0,8.9
14.26,0.111,74.87,1.000,0.0,8.9
14.78,0.111,74.87,1.000,0.0,8.9
15.28,0.111,74.87,1.000,0.0,8.9
15.78,0.111,74.87,1.000,0.0,8.9
16.28,0.111,74.87,1.000,0.0,8.9
16.79,0.111,74.87,1.000,0.0,8.9
17.31,0.111,74.87,1.000,0.0,8.9
17.83,0.111,74.87,1.000,0.0,8.9
18.34,0.111,74.87,1.000,0.0,8.9
18.86,0.111,74.87,1.000,0.0,8.9
19.38,0.111,74.87,1.000,0.0,8.9
19.88,0.111,74.87,1.000,0.0,8.9
20.38,0.111,74.87,1.000,0.0,8.9
20.88,0.111,74.87,1.000,0.0,8.9
21.38,0.111,74.87,1.000,0.0,8.9
21.89,0.111,74.87,1.000,0.0,8.9
22.39,0.111,74.87,1.000,0.0,8.9
22.91,0.111,74.87,1.000,0.0,8.9
23.41,0.111,74.87,1.000,0.0,8.9
23.93,0.111,74.87,1.000,0.0,8.9
